Y;X;osm_id;code;fclass;name;ref;oneway;maxspeed;layer;bridge;tunnel;xAtZero;yAtZero;xAtOne;yAtOne;vertex_pos;vertex_ind;vertex_par;vertex_p_1;distance;angle;xkord;ykord
60.1776617;24.8037566;4760232;5141;service;Kulttuuriaukio;;F;0;0;F;F;24.8027812;60.1775237;24.8026896;60.1776785;0;0;0;0;0;330.2352312417;24.8037566;60.1776617
60.1778168;24.8036679;4760232;5141;service;Kulttuuriaukio;;F;0;0;F;F;24.8027812;60.1775237;24.8026896;60.1776785;-1;1;0;1;0.000178672;330.2352312417;24.8036679;60.1778168
60.1778168;24.8036679;4760232;5141;service;Kulttuuriaukio;;F;0;0;F;F;24.8027812;60.1775237;24.8026896;60.1776785;0;0;0;0;0;261.9615441525;24.8036679;60.1778168
60.1778032;24.8035716;4760232;5141;service;Kulttuuriaukio;;F;0;0;F;F;24.8027812;60.1775237;24.8026896;60.1776785;-1;1;0;1;9.7255591098e-05;261.9615441525;24.8035716;60.1778032
60.1778032;24.8035716;4760232;5141;service;Kulttuuriaukio;;F;0;0;F;F;24.8027812;60.1775237;24.8026896;60.1776785;0;0;0;0;0;261.9492379804;24.8035716;60.1778032
60.1777088;24.8029042;4760232;5141;service;Kulttuuriaukio;;F;0;0;F;F;24.8027812;60.1775237;24.8026896;60.1776785;-1;1;0;1;0.0006740431;261.9492379804;24.8029042;60.1777088
60.1777088;24.8029042;4760232;5141;service;Kulttuuriaukio;;F;0;0;F;F;24.8027812;60.1775237;24.8026896;60.1776785;0;0;0;0;0;261.9965306669;24.8029042;60.1777088
60.177699;24.8028345;4760232;5141;service;Kulttuuriaukio;;F;0;0;F;F;24.8027812;60.1775237;24.8026896;60.1776785;-1;1;0;1;7.0385580911e-05;261.9965306669;24.8028345;60.177699
60.177699;24.8028345;4760232;5141;service;Kulttuuriaukio;;F;0;0;F;F;24.8027812;60.1775237;24.8026896;60.1776785;0;0;0;0;0;261.9474141158;24.8028345;60.177699
60.1776785;24.8026896;4760232;5141;service;Kulttuuriaukio;;F;0;0;F;F;24.8027812;60.1775237;24.8026896;60.1776785;-1;1;0;1;0.000146343;261.9474141158;24.8026896;60.1776785
60.1767555;24.8105139;8149158;5115;tertiary;Tapiolantie;;B;40;0;F;F;24.811653;60.1776581;24.8105139;60.1767555;-1;1;0;1;0.0002746928;223.8790103972;24.8105139;60.1767555
60.1763987;24.8010646;8736668;5152;cycleway;Tapionraitti;;B;0;0;F;F;24.8010646;60.1763987;24.7949906;60.1756662;0;0;0;0;0;262.3722473992;24.8010646;60.1763987
60.1770938;24.803025;8737684;5122;residential;Kaupinkalliontie;;B;30;0;F;F;24.803025;60.1770938;24.80202;60.1788769;0;0;0;0;0;329.690193528;24.803025;60.1770938
60.1771872;24.8029704;8737684;5122;residential;Kaupinkalliontie;;B;30;0;F;F;24.803025;60.1770938;24.80202;60.1788769;-1;1;0;1;0.0001081884;329.690193528;24.8029704;60.1771872
60.1771872;24.8029704;8737684;5122;residential;Kaupinkalliontie;;B;30;0;F;F;24.803025;60.1770938;24.80202;60.1788769;0;0;0;0;0;330.652756774;24.8029704;60.1771872
60.1775237;24.8027812;8737684;5122;residential;Kaupinkalliontie;;B;30;0;F;F;24.803025;60.1770938;24.80202;60.1788769;-1;1;0;1;0.0003860426;330.652756774;24.8027812;60.1775237
60.1775237;24.8027812;8737684;5122;residential;Kaupinkalliontie;;B;30;0;F;F;24.803025;60.1770938;24.80202;60.1788769;0;0;0;0;0;329.3858701248;24.8027812;60.1775237
60.1776785;24.8026896;8737684;5122;residential;Kaupinkalliontie;;B;30;0;F;F;24.803025;60.1770938;24.80202;60.1788769;-1;1;0;1;0.0001798711;329.3858701248;24.8026896;60.1776785
60.1776785;24.8026896;8737684;5122;residential;Kaupinkalliontie;;B;30;0;F;F;24.803025;60.1770938;24.80202;60.1788769;0;0;0;0;0;332.7683965828;24.8026896;60.1776785
60.1777537;24.8026509;8737684;5122;residential;Kaupinkalliontie;;B;30;0;F;F;24.803025;60.1770938;24.80202;60.1788769;-1;1;0;1;8.4573813913e-05;332.7683965828;24.8026509;60.1777537
60.1777537;24.8026509;8737684;5122;residential;Kaupinkalliontie;;B;30;0;F;F;24.803025;60.1770938;24.80202;60.1788769;0;0;0;0;0;330.6584019571;24.8026509;60.1777537
60.1782084;24.8023953;8737684;5122;residential;Kaupinkalliontie;;B;30;0;F;F;24.803025;60.1770938;24.80202;60.1788769;-1;1;0;1;0.0005216162;330.6584019571;24.8023953;60.1782084
60.1782084;24.8023953;8737684;5122;residential;Kaupinkalliontie;;B;30;0;F;F;24.803025;60.1770938;24.80202;60.1788769;0;0;0;0;0;330.6898785982;24.8023953;60.1782084
60.1788769;24.80202;8737684;5122;residential;Kaupinkalliontie;;B;30;0;F;F;24.803025;60.1770938;24.80202;60.1788769;-1;1;0;1;0.0007666436;330.6898785982;24.80202;60.1788769
60.1799047;24.8036141;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;0;0;0;0;0;83.0509848374;24.8036141;60.1799047
60.1799345;24.8038586;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;-1;1;0;1;0.0002463093;83.0509848374;24.8038586;60.1799345
60.1799345;24.8038586;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;0;0;0;0;0;86.1725938491;24.8038586;60.1799345
60.1799574;24.8042009;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;-1;1;0;1;0.0003430652;86.1725938491;24.8042009;60.1799574
60.1799574;24.8042009;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;0;0;0;0;0;87.9651531882;24.8042009;60.1799574
60.1799739;24.8046653;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;-1;1;0;1;0.000464693;87.9651531882;24.8046653;60.1799739
60.1799739;24.8046653;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;0;0;0;0;0;90.313215355;24.8046653;60.1799739
60.1799712;24.8051592;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;-1;1;0;1;0.0004939074;90.313215355;24.8051592;60.1799712
60.1799712;24.8051592;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;0;0;0;0;0;91.1058940733;24.8051592;60.1799712
60.1799646;24.8055011;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;-1;1;0;1;0.0003419637;91.1058940733;24.8055011;60.1799646
60.1799646;24.8055011;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;0;0;0;0;0;96.4324146341;24.8055011;60.1799646
60.1799254;24.8058488;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;-1;1;0;1;0.0003499027;96.4324146341;24.8058488;60.1799254
60.1799254;24.8058488;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;0;0;0;0;0;96.1529142117;24.8058488;60.1799254
60.1799015;24.8060705;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;-1;1;0;1;0.0002229845;96.1529142117;24.8060705;60.1799015
60.1799015;24.8060705;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;0;0;0;0;0;95.7725847599;24.8060705;60.1799015
60.1798645;24.8064365;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;-1;1;0;1;0.0003678655;95.7725847599;24.8064365;60.1798645
60.1798645;24.8064365;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;0;0;0;0;0;95.4310403221;24.8064365;60.1798645
60.1798313;24.8067857;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;-1;1;0;1;0.0003507747;95.4310403221;24.8067857;60.1798313
60.1798313;24.8067857;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;0;0;0;0;0;95.7925764962;24.8067857;60.1798313
60.1797555;24.8075329;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;-1;1;0;1;0.0007510349;95.7925764962;24.8075329;60.1797555
60.1797555;24.8075329;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;0;0;0;0;0;97.248218168;24.8075329;60.1797555
60.1797424;24.8076359;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;-1;1;0;1;0.0001038297;97.248218168;24.8076359;60.1797424
60.1797424;24.8076359;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;0;0;0;0;0;102.0329604699;24.8076359;60.1797424
60.1797343;24.8076739;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;-1;1;0;1;3.8853699953e-05;102.0329604699;24.8076739;60.1797343
60.1797343;24.8076739;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;0;0;0;0;0;105.4418168191;24.8076739;60.1797343
60.1797214;24.8077206;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;-1;1;0;1;4.8448942196e-05;105.4418168191;24.8077206;60.1797214
60.1797214;24.8077206;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;0;0;0;0;0;114.6815637772;24.8077206;60.1797214
60.1797089;24.8077478;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;-1;1;0;1;2.9934762401e-05;114.6815637772;24.8077478;60.1797089
60.1797089;24.8077478;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;0;0;0;0;0;124.4608162712;24.8077478;60.1797089
60.1796949;24.8077682;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;-1;1;0;1;2.4741867351e-05;124.4608162712;24.8077682;60.1796949
60.1796949;24.8077682;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;0;0;0;0;0;126.1413867725;24.8077682;60.1796949
60.1796012;24.8078965;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;-1;1;0;1;0.0001588728;126.1413867725;24.8078965;60.1796012
60.1796012;24.8078965;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;0;0;0;0;0;132.0528971138;24.8078965;60.1796012
60.17951;24.8079976;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;-1;1;0;1;0.0001361567;132.0528971138;24.8079976;60.17951
60.17951;24.8079976;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;0;0;0;0;0;162.1168393777;24.8079976;60.17951
60.1794725;24.8080097;10052575;5152;cycleway;Opinpolku;;B;0;0;F;F;24.8036141;60.1799047;24.8080097;60.1794725;-1;1;0;1;3.940380692e-05;162.1168393777;24.8080097;60.1794725
60.179735;24.8005656;22945424;5121;unclassified;Opintie;;B;30;0;F;F;24.8005656;60.179735;24.8029894;60.1798886;0;0;0;0;0;66.3863220201;24.8005656;60.179735
60.1798773;24.8008911;22945424;5121;unclassified;Opintie;;B;30;0;F;F;24.8005656;60.179735;24.8029894;60.1798886;-1;1;0;1;0.0003552457;66.3863220201;24.8008911;60.1798773
60.1798773;24.8008911;22945424;5121;unclassified;Opintie;;B;30;0;F;F;24.8005656;60.179735;24.8029894;60.1798886;0;0;0;0;0;72.2745601648;24.8008911;60.1798773
60.1799395;24.8010857;22945424;5121;unclassified;Opintie;;B;30;0;F;F;24.8005656;60.179735;24.8029894;60.1798886;-1;1;0;1;0.0002042988;72.2745601648;24.8010857;60.1799395
